Ville,Type,Surface,Nbr de pieces,Nbr de chambres,Nbr de salle de bains,DPE,Prix
st ouen en brie,Maison,50,2,1,1,-,135000
puteaux,Appartement,40,2,2,1,-,280000
rosny sous bois,Maison,134,5,3,2,-,450000
rosny sous bois,Appartement,101,5,3,2,-,307000
grisy suisnes,Appartement,55,55,2,1,-,155000
asnieres sur seine,Appartement,101,5,4,1,-,405000
sevran,Appartement,-,1,-,-,-,68000
sevran,Appartement,-,1,-,-,-,68000
paris 15,Maison,264,7,5,3,-,320000
saulx les chartreux,Appartement,45,2,1,1,-,170000
romainville,Maison,160,160,13,8,-,550000
romainville,Maison,160,160,13,8,-,550000
paris 20,Maison,45,4,3,1,-,22878
paris 8,Maison,405,5,1,1,-,70000
vanves,Appartement,22,2,1,1,-,140000
roinvilliers,Maison,100,5,4,-,-,254400
paris 16,Appartement,70,3,-,1,-,155150
paris 6,Appartement,70,3,-,1,-,155150
villemoisson sur orge,Maison,129,6,4,2,-,310000
stains,Appartement,80,5,3,1,-,250000
paris 19,Appartement,61,3,2,1,-,510000
paris 19,Appartement,61,3,2,1,-,510000
montigny les cormeilles,Appartement,71,3,2,1,-,169000
bezons,Maison,260,7,4,2,-,890000
garges les gonesse,Appartement,58,3,2,1,-,140000
paris 15,Appartement,35,2,1,1,-,320000
paris 12,Appartement,65,2,1,1,-,520000
paris 10,Appartement,52,3,2,1,-,260000
pierrefitte sur seine,Maison,93,6,4,2,-,300000
villiers st frederic,Appartement,34,2,1,1,-,165000
la roche guyon,Maison,110,5,4,1,-,260000
courdimanche,Maison,85,4,3,1,-,275000
villemoisson sur orge,Maison,130,6,4,2,-,340000
paris 10,Maison,405,9,2,2,-,90000
menucourt,Appartement,67,3,2,1,-,190000
sevran,Appartement,65,3,2,1,-,130000
le mesnil le roi,Appartement,74,4,2,1,-,380000
clichy,Appartement,30,2,1,1,-,178000
torfou,Appartement,30,2,1,1,-,97000
montmagny,Appartement,48,3,2,1,-,157000
montmagny,Appartement,48,3,2,1,-,157000
deuil la barre,Appartement,77,3,2,1,-,260000
fontainebleau,Appartement,90,4,2,1,-,290000
clamart,Appartement,28,2,1,1,-,160000
le mesnil le roi,Appartement,16,1,-,1,-,80000
alfortville,Appartement,21,1,1,1,-,95000
villem,Maison,140,6,5,1,-,315000
villeneuve sur bellot,Maison,-,3,2,-,-,73000
villeneuve sur bellot,Maison,-,3,2,-,-,48000
villeneuve sur bellot,Maison,-,3,2,1,-,68000
perigny,Maison,78,4,2,2,-,209000
villeneuve sur bellot,Maison,-,6,4,1,-,220000
draveil,Maison,250,11,-,-,-,495000
vinantes,Maison,118,7,5,2,-,138000
yebles,Maison,100,4,3,1,-,295000
vieux champagne,Maison,100,5,3,1,-,163000
grigny,Appartement,70,4,2,1,-,120000
pontoise,Maison,122,6,4,2,-,450000
servon,Appartement,63,3,2,1,-,168000
servon,Appartement,63,3,2,1,-,168000
servon,Appartement,63,3,2,1,-,168000
servon,Appartement,63,3,2,1,-,168000
evry,Maison,90,5,3,1,-,270000
aulnay sous bois,Appartement,27,2,1,1,-,115000
choisy le roi,Appartement,32,3,1,1,-,140000
champigny sur marne,Maison,148,5,3,2,-,395000
paris 12,Appartement,50,2,1,1,-,420000
champigny sur marne,Maison,170,9,5,2,-,670000
creteil,Appartement,74,3,2,1,-,289000
deuil la barre,Appartement,67,3,2,1,-,185000
vaux le penil,Appartement,21,1,1,1,-,77000
paris 10,Maison,100,3,2,2,-,149000
paris 10,Maison,100,3,2,2,-,149000
yerres,Appartement,64,3,2,1,-,210000
paris 10,Maison,100,3,2,2,-,149000
champigny sur marne,Appartement,70,3,2,1,-,172000
paris 20,Appartement,34,1,1,1,-,225000
ville st jacques,Maison,30,2,2,1,-,28900
paris 1,Appartement,70,3,2,1,-,85000
paris 10,Maison,100,3,2,2,-,149000
la queue les yvelines,Appartement,31,-,-,1,-,158000
paris 10,Appartement,48,2,1,1,-,315000
paris 10,Maison,45,2,1,1,-,35000
paris 10,Maison,100,3,2,2,-,149000
paris 10,Maison,100,3,2,2,-,149000
paris 3,Appartement,105,4,3,-,-,250000
pierrelaye,Appartement,65,3,2,1,-,240000
fontainebleau,Appartement,67,4,3,1,-,210000
reau,Appartement,60,3,2,1,-,215000
le tertre st denis,Maison,35,-,2,-,-,56000
pierrelaye,Appartement,65,3,2,1,-,240000
vulaines les provins,Maison,50,3,2,-,-,75000
villenoy,Maison,86,4,3,1,-,250000
argenteuil,Maison,62,3,2,1,-,320000
courcouronnes,Appartement,50,3,1,1,-,150000
savigny le temple,Appartement,45,2,1,1,-,149500
souppes sur loing,Maison,350,16,8,8,-,380000
neufmoutiers en brie,Appartement,50,3,-,1,-,160000
montgeron,Maison,434,7,6,2,-,440000
vitry sur seine,Maison,110,5,3,1,-,450000
paris 13,Appartement,104,3,2,2,-,1030000
thiais,Maison,90,5,3,1,-,360000
sucy en brie,Appartement,70,4,3,1,-,180000
lisses,Maison,121,6,4,2,-,370000
paris 18,Appartement,60,60,2,1,-,380000
neufmoutiers en brie,Maison,145,4,-,-,-,207000
neufmoutiers en brie,Maison,67,2,-,-,-,140000
sannois,Appartement,217,4,4,2,-,70000
paris 8,Appartement,-,2,1,-,-,85000
oncy sur ecole,Maison,114,5,4,2,-,280000
paris 17,Appartement,40,3,2,2,-,160000
vaux le penil,Appartement,94,5,3,1,-,220000
pontoise,Appartement,73,3,2,1,-,220000
samoreau,Maison,50,2,1,1,-,160000
paris 18,Appartement,110,3,2,2,-,820000
puiseux pontoise,Appartement,110,5,3,2,-,320000
vaux le penil,Maison,200,6,3,1,-,110000
epinay sur seine,Appartement,66,3,2,1,-,190000
le bourget,Maison,100,4,3,2,-,370000
evry,Appartement,45,2,1,1,-,120000
champagne sur seine,Maison,80,4,2,1,-,260000
villeneuve sur bellot,Maison,200,4,2,1,-,140000
drancy,Appartement,43,2,1,1,-,158000
sarcelles,Appartement,25,1,1,1,-,86000
antony,Maison,70,3,1,1,-,460000
paris 10,Maison,250,-,-,-,-,150000
aubervilliers,Maison,221,4,3,1,-,498000
grigny,Appartement,75,2,3,1,-,115000
chelles,Appartement,88,5,3,1,-,190000
chaville,Appartement,58,3,2,1,-,258000
ozoir la ferriere,Maison,160,6,4,2,-,445000
pontault combault,Maison,109,5,3,1,-,333000
chelles,Maison,105,6,4,1,-,272000
montmorency,Appartement,79,4,2,1,-,235000
voulangis,Maison,88,4,2,2,-,50000
solers,Maison,96,5,4,2,-,295000
st escobille,Appartement,39,2,1,1,-,145000
villiers en biere,Appartement,73,4,3,1,-,145000
le mee sur seine,Appartement,110,6,3,1,-,150000
paris 20,Appartement,108,4,2,1,-,540000
servon,Appartement,77,4,3,1,-,206000
paris 1,Maison,91,91,3,1,-,32300
montigny les cormeilles,Appartement,47,2,1,1,-,175000
creteil,Appartement,114,6,3,1,-,240000
sarcelles,Appartement,85,5,4,1,-,195000
livry gargan,Appartement,50,3,2,1,-,150000
vulaines les provins,Maison,118,5,4,2,-,245000
le mesnil le roi,Appartement,80,4,2,1,-,369000
bobigny,Appartement,84,4,3,1,-,269000
clichy sous bois,Appartement,56,3,2,1,-,120000
clichy,Appartement,65,3,2,1,-,100000
clichy,Appartement,65,3,3,1,-,100000
voulangis,Maison,100,5,3,1,-,280000
versailles,Appartement,23,1,1,1,-,140000
grigny,Appartement,70,4,2,1,-,180000
neufmoutiers en brie,Maison,100,4,3,1,-,255000
montfermeil,Maison,130,5,3,2,-,375000
rosny sous bois,Maison,500,13,7,6,-,1707000
paris 11,Appartement,121,5,4,1,-,780000
sancy les provins,Maison,180,8,4,2,-,265000
sevran,Appartement,30,1,-,1,-,72000
vemars,Appartement,68,4,3,1,-,155000
clichy,Appartement,48,2,1,1,-,215000
emerainville,Maison,90,4,3,1,-,245000
aulnay sous bois,Appartement,15,1,-,1,-,64000
roissy en brie,Maison,93,5,3,1,-,235000
roissy en brie,Maison,93,5,3,1,-,235000
bobigny,Appartement,59,3,2,1,-,189000
fontenay le fleury,Appartement,55,2,1,1,-,160000
gournay sur marne,Maison,100,5,3,2,-,350000
angerville,Maison,50,3,2,1,-,22000
montigny sur loing,Maison,135,8,5,1,-,350000
savigny le temple,Maison,145,6,4,2,-,262000
vendrest,Maison,93,4,3,1,-,240000
vaux le penil,Maison,70,4,2,1,-,130000
creteil,Appartement,77,3,3,1,-,250000
gagny,Maison,84,5,4,1,-,280000
pontoise,Maison,75,5,3,1,-,255000
ecquevilly,Appartement,56,2,1,1,-,170000
paris 1,Appartement,12,1,-,1,-,147000
paris 13,Appartement,9,-,-,-,-,89000
pontault combault,Appartement,55,2,1,1,-,181000
montmagny,Maison,174,6,3,2,-,410000
choisy le roi,Appartement,82,4,3,1,-,249000
plaisir,Appartement,60,3,2,1,-,195000
paris 18,Appartement,80,3,2,1,-,390000
aulnay sous bois,Appartement,96,4,3,2,-,178000
clamart,Appartement,28,2,1,1,-,138000
ecouen,Appartement,45,2,1,1,-,135000
parmain,Maison,110,5,4,1,-,220000
argenteuil,Appartement,122,4,2,1,-,375000
sts,Maison,95,5,3,1,-,228000
limeil brevannes,Appartement,90,5,3,1,-,210000
colombes,Maison,90,4,3,1,-,500000
ville st jacques,Maison,54,3,2,1,-,25000
courbevoie,Appartement,47,2,1,1,-,190000
nogent sur marne,Appartement,76,4,3,1,-,280000
chelles,Maison,150,-,4,2,-,200000
sarcelles,Maison,-,5,3,2,-,345000
pontoise,Appartement,131,6,5,2,-,250000
vigneux sur seine,Appartement,50,2,1,1,-,126000
